slug,code,title,course_id,summary,authors,tags,last_updated,published,estimated_time_minutes,credits,duration_hours,level,prerequisites,learning_objectives
aut-120,AUT-120,Brake Systems (ASE A5),2000,Brake Systems (ASE A5) - comprehensive course covering core topics.,AutoLearn Team,generated,,true,90,3,45,lower_division,,Objective 1;Objective 2;Objective 3
aut-140,AUT-140,Engine Performance I,2001,Engine Performance I - comprehensive course covering core topics.,AutoLearn Team,generated,,true,90,3,45,lower_division,,Objective 1;Objective 2;Objective 3
aut-150,AUT-150,Electrical Systems Fundamentals,2002,Electrical Systems Fundamentals - comprehensive course covering core topics.,AutoLearn Team,generated,,true,90,3,45,lower_division,,Objective 1;Objective 2;Objective 3
aut-160,AUT-160,Suspension & Steering,2003,Suspension & Steering - comprehensive course covering core topics.,AutoLearn Team,generated,,true,90,3,45,lower_division,,Objective 1;Objective 2;Objective 3
aut-180,AUT-180,Automatic Transmissions,2004,Automatic Transmissions - comprehensive course covering core topics.,AutoLearn Team,generated,,true,90,3,45,lower_division,,Objective 1;Objective 2;Objective 3
aut-320,AUT-320,Advanced Engine Diagnostics,2005,Advanced Engine Diagnostics - comprehensive course covering core topics.,AutoLearn Team,generated,,true,90,3,45,lower_division,,Objective 1;Objective 2;Objective 3
aut-340,AUT-340,Automotive Network Systems,2006,Automotive Network Systems - comprehensive course covering core topics.,AutoLearn Team,generated,,true,90,3,45,lower_division,,Objective 1;Objective 2;Objective 3
aut-360,AUT-360,ADAS & Driver Assistance,2007,ADAS & Driver Assistance - comprehensive course covering core topics.,AutoLearn Team,generated,,true,90,3,45,lower_division,,Objective 1;Objective 2;Objective 3
aut-480,AUT-480,Fleet Management & Operations,2008,Fleet Management & Operations - comprehensive course covering core topics.,AutoLearn Team,generated,,true,90,3,45,lower_division,,Objective 1;Objective 2;Objective 3
aut-490,AUT-490,Capstone Project,2009,Capstone Project - comprehensive course covering core topics.,AutoLearn Team,generated,,true,90,3,45,lower_division,,Objective 1;Objective 2;Objective 3
dsl-160,DSL-160,Diesel Engine Operation,2010,Diesel Engine Operation - comprehensive course covering core topics.,AutoLearn Team,generated,,true,90,3,45,lower_division,,Objective 1;Objective 2;Objective 3
dsl-170,DSL-170,Diesel Fuel Systems,2011,Diesel Fuel Systems - comprehensive course covering core topics.,AutoLearn Team,generated,,true,90,3,45,lower_division,,Objective 1;Objective 2;Objective 3
dsl-180,DSL-180,Air Intake & Exhaust Systems,2012,Air Intake & Exhaust Systems - comprehensive course covering core topics.,AutoLearn Team,generated,,true,90,3,45,lower_division,,Objective 1;Objective 2;Objective 3
dsl-360,DSL-360,Diesel Emissions Control,2013,Diesel Emissions Control - comprehensive course covering core topics.,AutoLearn Team,generated,,true,90,3,45,lower_division,,Objective 1;Objective 2;Objective 3
dsl-380,DSL-380,Heavy Duty Truck Systems,2014,Heavy Duty Truck Systems - comprehensive course covering core topics.,AutoLearn Team,generated,,true,90,3,45,lower_division,,Objective 1;Objective 2;Objective 3
dsl-490,DSL-490,Diesel Technology Capstone,2015,Diesel Technology Capstone - comprehensive course covering core topics.,AutoLearn Team,generated,,true,90,3,45,upper_division,,Objective 1;Objective 2;Objective 3
ev-150,EV-150,Electric Vehicle Fundamentals,2016,Electric Vehicle Fundamentals - comprehensive course covering core topics.,AutoLearn Team,generated,,true,90,3,45,upper_division,,Objective 1;Objective 2;Objective 3
ev-160,EV-160,Hybrid Vehicle Systems,2017,Hybrid Vehicle Systems - comprehensive course covering core topics.,AutoLearn Team,generated,,true,90,3,45,upper_division,,Objective 1;Objective 2;Objective 3
ev-170,EV-170,EV Battery Technology,2018,EV Battery Technology - comprehensive course covering core topics.,AutoLearn Team,generated,,true,90,3,45,upper_division,,Objective 1;Objective 2;Objective 3
ev-350,EV-350,High-Voltage Systems Service,2019,High-Voltage Systems Service - comprehensive course covering core topics.,AutoLearn Team,generated,,true,90,3,45,upper_division,,Objective 1;Objective 2;Objective 3
ev-360,EV-360,EV Charging Infrastructure,2020,EV Charging Infrastructure - comprehensive course covering core topics.,AutoLearn Team,generated,,true,90,3,45,upper_division,,Objective 1;Objective 2;Objective 3
ev-370,EV-370,Advanced Battery Management,2021,Advanced Battery Management - comprehensive course covering core topics.,AutoLearn Team,generated,,true,90,3,45,upper_division,,Objective 1;Objective 2;Objective 3
ev-490,EV-490,Electric Vehicle Capstone,2022,Electric Vehicle Capstone - comprehensive course covering core topics.,AutoLearn Team,generated,,true,90,3,45,upper_division,,Objective 1;Objective 2;Objective 3
vlb-100,VLB-100,Virtual Lab Safety & Tools,2023,Virtual Lab Safety & Tools - comprehensive course covering core topics.,AutoLearn Team,generated,,true,90,3,45,upper_division,,Objective 1;Objective 2;Objective 3
vlb-110,VLB-110,Virtual Diagnostic Procedures,2024,Virtual Diagnostic Procedures - comprehensive course covering core topics.,AutoLearn Team,generated,,true,90,3,45,upper_division,,Objective 1;Objective 2;Objective 3
